Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,435,460,435,457.399994,457.399994,28174600
2020-11-03,458,460.700012,447.450012,454.600006,454.600006,16036760
2020-11-04,453,455.549988,447.149994,453.049988,453.049988,10003680
2020-11-05,457,461.899994,452.600006,457.299988,457.299988,9234395
2020-11-06,457,460.350006,448.75,449.899994,449.899994,11970462
2020-11-09,456.299988,474.75,452.549988,471.799988,471.799988,24493687
2020-11-10,474,474.149994,465,466.399994,466.399994,9620279
2020-11-11,467.950012,481.350006,464.049988,478.600006,478.600006,15737416
2020-11-12,476.850006,483.200012,475.049988,479.850006,479.850006,14512799
2020-11-13,477,478,470,475.75,475.75,8272841
2020-11-17,490.899994,494.950012,481.25,484.549988,484.549988,18699305
2020-11-18,483.950012,485,471.100006,478.399994,478.399994,10311000
2020-11-19,476,481.450012,467,468.549988,468.549988,11329235
2020-11-20,470.5,485.950012,465.350006,483.700012,483.700012,11867647
2020-11-23,486.75,486.75,475.100006,477.25,477.25,10005675
2020-11-24,478.399994,481.25,471.200012,474.25,474.25,9173967
2020-11-25,476.5,477.899994,458.649994,464.100006,464.100006,14229948
2020-11-26,468.700012,469.649994,460.100006,468.399994,468.399994,11322533
2020-11-27,468.299988,472.649994,462,463.25,463.25,18151096
2020-12-01,467.75,482.5,460.5,479.450012,479.450012,18193356
2020-12-02,481,487.899994,474.049988,484.899994,484.899994,20562558
2020-12-03,487.100006,489.149994,474,479.899994,479.899994,19723853
2020-12-04,486.850006,497.799988,483.399994,493.75,493.75,31039563
2020-12-07,498,510.5,494.600006,508.950012,508.950012,22125752
2020-12-08,514,516.25,499.649994,503.600006,503.600006,19298806
2020-12-09,504.899994,506.899994,499.100006,503.049988,503.049988,11608846
2020-12-10,501.5,508.75,494.100006,505.149994,505.149994,13194186
2020-12-11,508.5,508.5,497.299988,504.399994,504.399994,13760737
2020-12-14,507,512,501.149994,503.049988,503.049988,13886923
2020-12-15,505.850006,506.799988,498.100006,504.200012,504.200012,13074733
2020-12-16,504.200012,518.799988,502.100006,516.200012,516.200012,17381441
2020-12-17,517,522.5,512,515.099976,515.099976,19654749
2020-12-18,513.900024,514.900024,505.049988,510.649994,510.649994,10797760
2020-12-21,507.5,511.200012,480.149994,490.899994,490.899994,15253094
2020-12-22,494,505,485.549988,500.299988,500.299988,21233811
2020-12-23,500.299988,509.5,498.399994,507.200012,507.200012,13081361
2020-12-24,520,523,510.450012,517.299988,517.299988,20849597
2020-12-28,520.099976,527,516.599976,521.599976,521.599976,12882390
2020-12-29,523,524.950012,515.099976,520.25,520.25,11246474
2020-12-30,523.400024,523.400024,513.299988,516.150024,516.150024,10494434
2020-12-31,517.099976,518.450012,506.299988,509.700012,509.700012,15524994
2021-01-01,512.25,516.400024,508.200012,515.150024,515.150024,10185843
2021-01-04,517,520.5,511.600006,517.099976,517.099976,13240524
2021-01-05,514,516.900024,511.100006,514,514,10492428
2021-01-06,515,531.75,513.099976,525.299988,525.299988,30269288
2021-01-07,532,554.450012,527.099976,545.25,545.25,38717913
2021-01-08,549.299988,549.75,537.299988,540.25,540.25,14270435
2021-01-11,541.5,554.349976,541.5,547.150024,547.150024,19525604
2021-01-12,549,569,545,565.75,565.75,25380555
2021-01-13,588,601.700012,567,578.25,578.25,83668562
2021-01-14,582.700012,584.799988,570.049988,580.549988,580.549988,16661518
2021-01-15,609.549988,610.650024,593.799988,602.650024,602.650024,56392307
2021-01-18,602.650024,603,584,586.950012,586.950012,20965905
2021-01-19,591.099976,597.450012,586.5,592.299988,592.299988,10830923
2021-01-20,592.299988,602.5,589,596.150024,596.150024,13087294
2021-01-21,600.25,604.049988,574.400024,581.349976,581.349976,17060331
2021-01-22,583.900024,585.549988,572.75,576.849976,576.849976,12429589
2021-01-25,579,587.849976,569.549988,580.75,580.75,12273498
2021-01-27,580,581.75,562.349976,570.799988,570.799988,15280757
2021-01-28,566.5,575.849976,562.75,570.900024,570.900024,14921448
2021-01-29,578.5,578.5,550.599976,553.599976,553.599976,25051621
