Date,Open,High,Low,Close,Adj Close,Volume
2020-11-02,1065,1079.949951,1051.099976,1072.300049,1072.300049,7183119
2020-11-03,1072,1079.400024,1057.5,1062.550049,1062.550049,7204782
2020-11-04,1068,1116,1066.800049,1093.949951,1093.949951,15702690
2020-11-05,1109.900024,1123,1099,1104,1104,9568890
2020-11-06,1108,1121.099976,1091.699951,1112.75,1112.75,8807127
2020-11-09,1129.300049,1146,1121.150024,1136.550049,1136.550049,10160320
2020-11-10,1113.849976,1113.849976,1078,1091.050049,1091.050049,15622869
2020-11-11,1096,1126.349976,1087,1122.5,1122.5,12514800
2020-11-12,1128.099976,1142,1113.75,1117.75,1117.75,9180976
2020-11-13,1120,1133,1117,1124.199951,1124.199951,6363212
2020-11-17,1144.75,1145,1112.650024,1123.699951,1123.699951,12813968
2020-11-18,1128.5,1132.699951,1101.449951,1110.550049,1110.550049,9839468
2020-11-19,1100,1114.699951,1093.800049,1096.75,1096.75,10092343
2020-11-20,1106,1109,1091.099976,1103.349976,1103.349976,8063554
2020-11-23,1105,1144.800049,1101.949951,1139.849976,1139.849976,10546363
2020-11-24,1145,1154.900024,1133.349976,1140.050049,1140.050049,8515426
2020-11-25,1137,1143.5,1111.25,1115.650024,1115.650024,8958701
2020-11-26,1119.949951,1119.949951,1098.300049,1113.199951,1113.199951,10962256
2020-11-27,1118,1121,1091,1100,1100,25306145
2020-12-01,1105.050049,1140.25,1105.050049,1137.849976,1137.849976,8933802
2020-12-02,1134,1147.449951,1121,1140.900024,1140.900024,6741637
2020-12-03,1147,1147,1122.699951,1126.449951,1126.449951,16212632
2020-12-04,1125,1137,1115,1134.650024,1134.650024,10564055
2020-12-07,1147.300049,1153,1136,1143.5,1143.5,7792141
2020-12-08,1145,1167,1145,1153.349976,1153.349976,12308330
2020-12-09,1168.050049,1179.5,1157,1175.199951,1175.199951,10039346
2020-12-10,1157.400024,1171.650024,1150,1167.75,1167.75,9488782
2020-12-11,1159.699951,1171.949951,1155.25,1163.199951,1163.199951,10574009
2020-12-14,1169.400024,1172.599976,1148.199951,1164.550049,1164.550049,6728187
2020-12-15,1156,1163.699951,1152,1154.599976,1154.599976,6905926
2020-12-16,1160,1168.900024,1153.599976,1165.699951,1165.699951,7788404
2020-12-17,1165.900024,1168.900024,1156.199951,1159.199951,1159.199951,6658153
2020-12-18,1182.849976,1195,1175.599976,1189.800049,1189.800049,15995676
2020-12-21,1188,1209.75,1152.050049,1177.300049,1177.300049,10858352
2020-12-22,1182,1223.849976,1176.099976,1220.5,1220.5,10901851
2020-12-23,1238,1258.849976,1230.550049,1253.050049,1253.050049,15878346
2020-12-24,1249.900024,1249.900024,1226,1236.050049,1236.050049,7313885
2020-12-28,1238.449951,1248,1236,1240.300049,1240.300049,4607051
2020-12-29,1235,1254.449951,1235,1250.300049,1250.300049,6878105
2020-12-30,1253,1253.300049,1238.150024,1246.800049,1246.800049,5194690
2020-12-31,1243,1258.400024,1239,1255.800049,1255.800049,7430470
2021-01-01,1257.900024,1265.5,1255.800049,1260.449951,1260.449951,4253550
2021-01-04,1269,1290,1261.150024,1288.25,1288.25,7208454
2021-01-05,1282,1299,1275.050049,1293.800049,1293.800049,8145280
2021-01-06,1300,1302,1268.050049,1282.099976,1282.099976,7161715
2021-01-07,1296,1297.650024,1255.5,1262.150024,1262.150024,10954918
2021-01-08,1278.25,1316.800049,1278.25,1312.099976,1312.099976,13186251
2021-01-11,1342.099976,1383.349976,1340,1376.199951,1376.199951,20528626
2021-01-12,1378,1378,1360,1371.75,1371.75,8309868
2021-01-13,1373.849976,1392.800049,1360,1387.150024,1387.150024,14442997
2021-01-14,1360,1384,1318.449951,1370.5,1370.5,27521697
2021-01-15,1360,1364.449951,1340,1344.949951,1344.949951,15018441
2021-01-18,1338,1340,1306,1312.050049,1312.050049,8861765
2021-01-19,1320,1331,1312,1316.650024,1316.650024,5585744
2021-01-20,1320.550049,1348.400024,1320.550049,1339.449951,1339.449951,8225838
2021-01-21,1350,1361.050049,1335,1339.699951,1339.699951,6142421
2021-01-22,1327,1356,1326.550049,1340.849976,1340.849976,9646591
2021-01-25,1345,1347.900024,1313,1325.099976,1325.099976,6542611
2021-01-27,1319.599976,1327.550049,1285.099976,1301,1301,8133665
2021-01-28,1291.800049,1296.449951,1272.550049,1276.199951,1276.199951,4660690
2021-01-29,1286.25,1291.150024,1231,1239.050049,1239.050049,12183519
