Date,Reliance,Kotak Bank,HDFC Bank,Baj Finance,TITAN,L & T,TATA Motors,Britannia,Asian Paint
2016/03/23,509.767914,659.950012,524.674988,687.419983,352.700012,828.366638,377,1362.650024,850
2016/03/28,505.40921,669.599976,523.75,670.02002,327.399994,804.233337,363.299988,1312.800049,845.400024
2016/03/29,513.259827,671.5,526.900024,665.674988,329.75,795.966675,372.450012,1291.574951,856.099976
2016/03/30,518.609131,683.849976,532.474976,678.775024,338.25,818.700012,388.600006,1319.25,881.849976
2016/03/31,517.69281,680.650024,535.575012,692.414978,339.100006,811.133362,386.600006,1343.25,868.400024
2016/04/01,512.368286,679.900024,532.224976,687.75,339.450012,825.266663,379.649994,1339.525024,870
2016/04/04,512.665466,687.299988,534.525024,686.969971,344.549988,823.900024,388.399994,1329.599976,886.150024
2016/04/05,508.653473,668.75,528.724976,682.35498,345.600006,796.766663,370.5,1320.675049,869.849976
2016/04/06,512.021545,668,530.75,694.755005,348.100006,807.900024,376.700012,1353.599976,863.299988
2016/04/07,513.755127,662.5,527.75,698.26001,339.299988,788.599976,375.200012,1350.574951,858.25
2016/04/08,513.309326,665.349976,529.674988,713.349976,335.850006,794.833313,371.450012,1343.400024,851.549988
2016/04/11,515.265808,671.299988,535.474976,719.320007,344.549988,808.900024,386.649994,1328.474976,860
2016/04/12,518.782471,677.349976,531.5,733.549988,350.399994,814.93335,395.799988,1352.875,866.900024
2016/04/13,528.019897,692.349976,540.875,743.039978,352.850006,823.266663,408.75,1380.550049,874.349976
2016/04/18,527.375977,683.349976,543.900024,731.390015,361.799988,835.333313,407.350006,1425.324951,885.200012
2016/04/20,513.779907,687.150024,548.924988,721.340027,373.799988,843.966675,404.100006,1422.650024,885.799988
2016/04/21,515.686829,686.700012,545.575012,698.650024,369.350006,834.633362,411.5,1393.925049,889.150024
2016/04/22,514.597107,676.099976,546.075012,697.11499,371.649994,843.400024,417,1411.300049,871.549988
2016/04/25,503.675659,680.450012,546.625,685.38501,373.600006,843.666687,412.200012,1408.550049,861.75
2016/04/26,503.700409,700.849976,556.924988,700.434998,371.850006,854,419.049988,1418.650024,876.900024
2016/04/27,504.91391,712.5,562.099976,694.565002,371.5,850.966675,418.549988,1430.699951,889.849976
